order_id,customer_name,item,quantity,price,order_date,payment_method,location
1,Ayesha,Cappuccino,1,350,2026-02-05,Card,Gulshan Branch
2,Sara,Cappuccino,3,1050,2026-03-11,Easypaisa,Gulshan Branch
3,Ayesha,Espresso,1,250,2026-01-28,Cash,DHA Branch
4,Faizan,Cold Brew,3,1200,2026-03-25,Easypaisa,Gulshan Branch
5,Ali,Muffin,3,660,2026-02-05,Card,DHA Branch
6,Hamza,Croissant,2,400,2026-02-05,Card,Clifton Branch
7,Sara,Cappuccino,1,350,2026-02-18,JazzCash,Clifton Branch
8,Faizan,Mocha,1,420,2026-02-28,Cash,Clifton Branch
9,Noor,Cappuccino,3,1050,2026-02-07,JazzCash,DHA Branch
10,Ali,Cold Brew,3,1200,2026-01-09,Card,Clifton Branch
11,Usman,Cappuccino,1,350,2026-01-13,,Clifton Branch
12,Zara,Americano,1,300,2026-02-17,Card,DHA Branch
13,Sara,Mocha,3,1260,2026-03-29,Card,DHA Branch
14,Usman,Cold Brew,1,400,2026-03-01,JazzCash,DHA Branch
15,Ali,Cold Brew,3,1200,2026-02-11,Card,Gulshan Branch
16,Sara,Americano,2,600,2026-02-04,Card,DHA Branch
17,Mehak,Americano,1,300,2026-03-25,Easypaisa,DHA Branch
18,Hamza,Muffin,1,220,2026-02-03,Card,DHA Branch
19,Usman,Mocha,3,1260,2026-03-16,Easypaisa,Clifton Branch
20,Mehak,Cold Brew,1,400,2026-03-07,Cash,Gulshan Branch
21,Hamza,Cappuccino,1,350,2026-03-22,Easypaisa,DHA Branch
22,Noor,Cappuccino,2,700,2026-02-18,Easypaisa,DHA Branch
23,Sara,Mocha,3,1260,2026-01-02,JazzCash,DHA Branch
24,Usman,Americano,1,300,2026-02-07,Card,Clifton Branch
25,Faizan,Espresso,3,750,2026-02-03,Card,DHA Branch
26,Faizan,Cappuccino,3,1050,2026-02-08,,Gulshan Branch
27,Faizan,Americano,1,300,2026-03-11,Cash,DHA Branch
28,Sara,Americano,2,600,2026-01-03,JazzCash,Clifton Branch
29,Noor,Cold Brew,1,400,2026-01-31,Cash,Gulshan Branch
30,Hamza,Muffin,1,220,2026-03-10,Card,DHA Branch
31,Bilal,Muffin,3,660,2026-01-22,Easypaisa,Gulshan Branch
32,Usman,Cold Brew,3,1200,2026-02-09,JazzCash,Clifton Branch
33,Ayesha,Muffin,1,220,2026-02-01,Cash,Clifton Branch
34,Ayesha,Espresso,3,750,2026-03-12,Card,Gulshan Branch
35,Ali,Cappuccino,3,1050,2026-03-22,Card,Gulshan Branch
36,Faizan,Espresso,2,500,2026-01-10,Card,Clifton Branch
37,Hamza,Muffin,1,220,2026-03-11,Easypaisa,Gulshan Branch
38,Sara,Muffin,2,440,2026-01-25,Cash,DHA Branch
39,Usman,Croissant,2,400,2026-02-24,Easypaisa,DHA Branch
